Site Name,Location,Cultural Importance,Type,Conservation Status,Sensitive Periods,Max Visitor Capacity,UNESCO Status,Local Significance Tags,District,Conservation Alert Level,Sustainability Flag,Redirect Recommendation,Overcrowding Risk,Recommended Time,Weather_Condition,AQI_Level,Target_Audience
Colombo Dutch Museum,Colombo,High,Historical,Well-maintained,None,300,No,"Museum, Colonial",Colombo,Low,No,Yes,High,Weekdays only,Sunny,Moderate,History & Heritage Enthusiasts
Old Colombo Dutch Hospital,Colombo,High,Historical,Well-maintained,None,500,No,"Colonial, Hospital",Colombo,Low,Yes,Yes,Low,Anytime,Cloudy,Good,History & Heritage Enthusiasts
Athkanda Raja Maha Vihara,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Moderate,No,No,Low,Avoid Peak Holidays,Cloudy,Good,Pilgrims & Culture Seekers
Ibbagala Raja Maha Vihara,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Low,Yes,Yes,Medium,"Jan–Mar, 6–8 AM",Clear,Moderate,Pilgrims & Culture Seekers
Ginikarawa Raja Maha Vihara,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Moderate,Yes,Yes,Medium,Avoid Peak Holidays,Sunny,Moderate,Pilgrims & Culture Seekers
Giriguharama Vihara (Rukmale),Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Low,No,Yes,High,"Jan–Mar, 6–8 AM",Clear,Moderate,Pilgrims & Culture Seekers
Gomadiyagala Vihara (Halmillewa),Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Moderate,Yes,Yes,Medium,Weekdays only,Sunny,Moderate,Pilgrims & Culture Seekers
Handungirigama Magampura Raja Maha Vihara,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,High,Yes,Yes,Low,"May–July, Weekdays",Sunny,Moderate,Pilgrims & Culture Seekers
Kasagala Purana Raja Maha Vihara,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,High,No,Yes,High,"May–July, Weekdays",Light Rain,Poor,Pilgrims & Culture Seekers
Nagolla Raja Maha Vihara,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,High,Yes,Yes,Medium,Anytime,Sunny,Good,Pilgrims & Culture Seekers
Padeniya Raja Maha Vihara,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Moderate,No,No,Low,Avoid Peak Holidays,Clear,Good,Pilgrims & Culture Seekers
Sri Namalu Purana Vihara,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,High,Yes,Yes,Medium,"Jan–Mar, 6–8 AM",Clear,Good,Pilgrims & Culture Seekers
Sri Pothgul Vihara,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Low,No,No,Low,Anytime,Light Rain,Good,Pilgrims & Culture Seekers
Yataththawela Bodhiwansarama Purana Vihara,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Moderate,No,No,Low,Avoid Peak Holidays,Clear,Moderate,Pilgrims & Culture Seekers
"Bihalpola Purana Tempita Vihara, Kuliyapitiya",Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,High,No,Yes,High,"Jan–Mar, 6–8 AM",Cloudy,Moderate,Pilgrims & Culture Seekers
Ganagamuwa Poorvarama Vihara,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,High,Yes,Yes,Low,Weekdays only,Light Rain,Good,Pilgrims & Culture Seekers
"Meddepola Raja Maha Vihara, Pannala",Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Moderate,Yes,Yes,High,Anytime,Clear,Poor,Pilgrims & Culture Seekers
"Nahalla Ambalama, Rideegama",Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Moderate,Yes,Yes,Low,Anytime,Clear,Good,Pilgrims & Culture Seekers
"Renagama Ambalama, Alawwa",Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Low,Yes,Yes,High,"Jan–Mar, 6–8 AM",Cloudy,Moderate,Pilgrims & Culture Seekers
Thimbiripokuna Palamgala,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Low,Yes,Yes,Low,"May–July, Weekdays",Light Rain,Moderate,Pilgrims & Culture Seekers
Samara House (Nugawela),Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,High,Yes,Yes,Medium,Avoid Peak Holidays,Cloudy,Moderate,Pilgrims & Culture Seekers
Yapahuwa Rock Fortress,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Low,No,No,Low,Anytime,Light Rain,Good,Pilgrims & Culture Seekers
Panduwasnuwara Kingdom & Temple (Panduwasnuwara Raja Maha Vihara),Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Moderate,Yes,Yes,Medium,Weekdays only,Light Rain,Good,Pilgrims & Culture Seekers
Ridi Viharaya (Silver Temple),Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,High,Yes,Yes,Low,Avoid Peak Holidays,Sunny,Moderate,Pilgrims & Culture Seekers
Maraluwawa Rajamaha Viharaya,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Low,Yes,Yes,Medium,Weekdays only,Clear,Good,Pilgrims & Culture Seekers
Ethagala (Elephant Rock) Buddha Statue,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Moderate,No,Yes,High,"Jan–Mar, 6–8 AM",Clear,Moderate,Pilgrims & Culture Seekers
Korossa Rajamaha Viharaya & Nathagane Cave Complex,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Low,No,Yes,Low,"Jan–Mar, 6–8 AM",Sunny,Good,Pilgrims & Culture Seekers
Arankale Buddhist Monastery,Kurunegala District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Ruins",Kurunegala,Low,Yes,Yes,High,Avoid Peak Holidays,Cloudy,Moderate,Pilgrims & Culture Seekers
Paramakanda Raja Maha Vihara,"Puttalam District, Anamaduwa",High,Religious,Well-maintained,"Vesak, Poson",300,No,"Temple, Cave, Ruins",Puttalam,High,No,Yes,Low,Avoid Peak Holidays,Sunny,Good,Pilgrims & Culture Seekers
Mulgirigala Raja Maha Vihara,"Puttalam District, Mullegama",Medium,Religious,At-risk,Esala,150,No,"Temple, Cave, Inscriptions",Puttalam,Low,Yes,Yes,High,Avoid Peak Holidays,Clear,Poor,Pilgrims & Culture Seekers
Devramvehera Monastery,"Puttalam District, Kottawehera",Medium,Religious,At-risk,None,100,No,"Monastery, Ruins",Puttalam,High,No,Yes,Low,"Jan–Mar, 6–8 AM",Clear,Good,Pilgrims & Culture Seekers
Bodhi Rukkarama Vihara,"Puttalam District, Kottukachchiya",Low,Religious,Well-maintained,None,120,No,"Temple, Dagoba",Puttalam,High,No,Yes,High,Anytime,Sunny,Poor,Pilgrims & Culture Seekers
Kettharama Vihara,Puttalam District,Medium,Religious,At-risk,None,80,No,"Dagoba, Inscriptions",Puttalam,High,Yes,Yes,High,Avoid Peak Holidays,Sunny,Poor,Pilgrims & Culture Seekers
Kuddettiyawa Sri Sunandarama Vihara,"Puttalam District, Nattandiya",Medium,Religious,Well-maintained,Vesak,200,No,"Temple, Dharmasala",Puttalam,Moderate,Yes,Yes,Low,Avoid Peak Holidays,Sunny,Good,Pilgrims & Culture Seekers
Karuwalagaswewa Purana Vihara,"Puttalam District, Diwulwewa",Low,Religious,At-risk,None,50,No,"Caves, Temple",Puttalam,High,Yes,Yes,Low,"May–July, Weekdays",Clear,Moderate,Pilgrims & Culture Seekers
Kummadiyagala Vihara,Puttalam District,Low,Religious,At-risk,None,70,No,"Dagoba, Ruins",Puttalam,High,Yes,Yes,Low,"Jan–Mar, 6–8 AM",Sunny,Good,Pilgrims & Culture Seekers
Lihiniyagiri Vihara,"Puttalam District, Galkuliya",Low,Religious,At-risk,None,60,No,"Temple, Archaeological",Puttalam,Low,No,No,Medium,"May–July, Weekdays",Sunny,Good,Pilgrims & Culture Seekers
Egodagama Nethipokkuna Ruins,"Puttalam District, Egodagama",Low,Historical,At-risk,None,40,No,"Dagoba, Ruins",Puttalam,Moderate,No,No,Medium,Weekdays only,Cloudy,Good,History & Heritage Enthusiasts
Galandayaya Ruins,"Puttalam District, Koyiladigama",Low,Historical,At-risk,None,40,No,Ruins,Puttalam,High,No,Yes,Medium,Avoid Peak Holidays,Sunny,Good,History & Heritage Enthusiasts
Kalpitiya Fort,"Puttalam District, Kalpitiya",High,Historical,Well-maintained,None,500,No,Fort,Puttalam,Low,Yes,Yes,Low,"Jan–Mar, 6–8 AM",Clear,Moderate,History & Heritage Enthusiasts
"Dutch Reformed Church, Kalpitiya","Puttalam District, Kalpitiya",High,Religious,Well-maintained,"Christmas, Good Friday",250,No,"Church, Colonial",Puttalam,Moderate,Yes,Yes,Medium,Avoid Peak Holidays,Cloudy,Good,Pilgrims & Culture Seekers
Koraya Walawwa (“Sigiri House”),"Puttalam District, Chilaw",Medium,Historical,Well-maintained,None,100,No,"Walawwa, Mansion",Puttalam,Moderate,No,Yes,High,"Jan–Mar, 6–8 AM",Light Rain,Poor,History & Heritage Enthusiasts
Maligawatta Pond,Puttalam District,Low,Historical,At-risk,None,50,No,"Pond, Ruins",Puttalam,High,Yes,Yes,Low,Weekdays only,Clear,Moderate,History & Heritage Enthusiasts
Malwila Archaeology Reserve / Malwila Ruins,"Puttalam District, Saliya Pura",High,Historical,At-risk,None,200,No,"Ruins, Monastery",Puttalam,High,No,Yes,High,Anytime,Clear,Moderate,History & Heritage Enthusiasts
Thonigala Rock Inscriptions,"Puttalam District, Anamaduwa",High,Historical,Well-maintained,None,150,No,"Inscriptions, Rock",Puttalam,Moderate,No,No,Medium,"May–July, Weekdays",Light Rain,Good,History & Heritage Enthusiasts
Dambulla Cave Temple (Golden Temple of Dambulla),Matale District,High,Religious,Well-maintained,Esala,Not Specified,Yes,"Temple, Cave, Murals",Matale,Moderate,Yes,Yes,Medium,Anytime,Clear,Good,Pilgrims & Culture Seekers
Sigiriya Rock Fortress,Matale District,High,Historical,Well-maintained,None,Not Specified,Yes,"Fortress, Palace, Garden, Rock",Matale,Moderate,Yes,Yes,Medium,"May–July, Weekdays",Light Rain,Good,History & Heritage Enthusiasts
Aluvihare Rock Temple,Matale District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Cave, Inscriptions",Matale,High,No,Yes,High,"Jan–Mar, 6–8 AM",Light Rain,Poor,Pilgrims & Culture Seekers
Sri Muthumariamman Temple,Matale District,High,Religious,Well-maintained,Annual Chariot Festival,Not Specified,No,"Temple, Hindu, Dravidian Architecture",Matale,Low,No,No,Medium,"Jan–Mar, 6–8 AM",Clear,Good,Pilgrims & Culture Seekers
Nalanda Gedige,Matale District,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Hybrid Architecture",Matale,Low,No,Yes,High,"Jan–Mar, 6–8 AM",Sunny,Poor,Pilgrims & Culture Seekers
Pidurangala Vihara,Matale District,Medium,Religious,At-risk,None,Not Specified,No,"Temple, Rock, Panoramic View",Matale,Moderate,No,No,Low,"May–July, Weekdays",Sunny,Good,Pilgrims & Culture Seekers
Ibbankatuwa Megalithic Tombs,Matale District,High,Historical,Under renovation,None,Not Specified,No,"Burial Site, Megalithic, Archaeology",Matale,Low,No,Yes,High,"Jan–Mar, 6–8 AM",Light Rain,Poor,History & Heritage Enthusiasts
Kaludiya Pokuna Archaeological Forest Site (Dambulla),Matale District,Medium,Historical,At-risk,None,Not Specified,No,"Pond, Forest, Ruins",Matale,Low,Yes,Yes,Low,Anytime,Cloudy,Moderate,Nature & Wildlife Explorers
Sigiriya Surrounding Ruins (including Pidurangala),Matale District,Medium,Historical,At-risk,None,Not Specified,No,"Ruins, Rock, Monastery",Matale,High,Yes,Yes,Low,Avoid Peak Holidays,Light Rain,Good,History & Heritage Enthusiasts
Temple of the Sacred Tooth Relic (Sri Dalada Maligawa),"Kandy, Central Province",High,Religious,Well-maintained,"Esala, Navam",5000,Yes,"Temple, Ritual, UNESCO",Kandy,Low,Yes,Yes,High,Avoid Peak Holidays,Light Rain,Moderate,Pilgrims & Culture Seekers
Royal Palace Complex,"Kandy, Central Province",High,Historical,Well-maintained,None,1000,Yes,"Palace, Fortress, UNESCO",Kandy,Moderate,Yes,Yes,Medium,Anytime,Light Rain,Good,History & Heritage Enthusiasts
Hatara Devales,"Kandy, Central Province",High,Religious,Well-maintained,Esala,2000,Yes,"Shrine, Ritual, Devalaya",Kandy,Moderate,Yes,Yes,Low,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Malwatta & Asgiriya Monasteries,"Kandy, Central Province",High,Religious,Well-maintained,"Esala, Vesak",1500,No,"Monastery, Buddhist",Kandy,Low,No,No,Low,Avoid Peak Holidays,Sunny,Good,Pilgrims & Culture Seekers
Kandy Lake & Udawattakele Forest Sanctuary,"Kandy, Central Province",High,Natural,Well-maintained,None,3000,Yes,"Natural, Scenic, UNESCO",Kandy,Moderate,Yes,Yes,High,"Jan–Mar, 6–8 AM",Sunny,Moderate,History & Heritage Enthusiasts
Gadaladeniya Vihara,"Pilimathalawa, Kandy",High,Religious,Well-maintained,Poson,800,No,"Temple, Ancient, Architecture",Kandy,Moderate,No,No,Medium,"Jan–Mar, 6–8 AM",Light Rain,Moderate,Pilgrims & Culture Seekers
Lankatilaka Vihara,"Pilimathalawa, Kandy",High,Religious,Well-maintained,Vesak,800,No,"Temple, Medieval",Kandy,Low,Yes,Yes,Medium,Avoid Peak Holidays,Cloudy,Good,Pilgrims & Culture Seekers
"Royal Botanical Gardens, Peradeniya","Peradeniya, Kandy",Medium,Natural,Well-maintained,None,3000,No,"Garden, Botanical, Colonial",Kandy,Low,Yes,Yes,High,Anytime,Sunny,Moderate,History & Heritage Enthusiasts
Bahirawakanda Vihara Buddha Statue,"Kandy, Central Province",Medium,Religious,Well-maintained,Vesak,1200,No,"Statue, Temple",Kandy,High,No,Yes,Low,Anytime,Clear,Good,Pilgrims & Culture Seekers
Prime Minister’s Lodge,Nuwara Eliya,High,Historical,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,Low,No,No,Medium,Anytime,Clear,Good,History & Heritage Enthusiasts
Queen’s Cottage,Nuwara Eliya,High,Historical,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,Moderate,Yes,Yes,Low,Avoid Peak Holidays,Clear,Good,History & Heritage Enthusiasts
Princess Bungalows,Nuwara Eliya,Medium,Historical,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,Low,No,No,Medium,"Jan–Mar, 6–8 AM",Light Rain,Moderate,History & Heritage Enthusiasts
Selwood Cottage,Nuwara Eliya,Medium,Historical,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,High,No,Yes,Medium,Avoid Peak Holidays,Clear,Good,History & Heritage Enthusiasts
Sisters of the Holy Cross Menzingen Convent,Nuwara Eliya,Medium,Religious,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,Low,Yes,Yes,Low,Weekdays only,Light Rain,Good,Pilgrims & Culture Seekers
Nuwara Eliya Post Office,Nuwara Eliya,High,Historical,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,High,No,Yes,Low,Anytime,Clear,Good,History & Heritage Enthusiasts
Holy Trinity Church,Nuwara Eliya,High,Religious,Well-maintained,"Christmas, Easter",Not Specified,Not Specified,No,Nuwara Eliya,Low,No,Yes,High,Weekdays only,Cloudy,Moderate,Pilgrims & Culture Seekers
Union Church,Nuwara Eliya,Medium,Religious,Well-maintained,"Christmas, Easter",Not Specified,Not Specified,No,Nuwara Eliya,Moderate,Yes,Yes,High,"May–July, Weekdays",Light Rain,Poor,Pilgrims & Culture Seekers
Christ Church Warleigh,Nuwara Eliya,Medium,Religious,Well-maintained,"Christmas, Easter",Not Specified,Not Specified,No,Nuwara Eliya,High,No,Yes,High,Avoid Peak Holidays,Clear,Poor,Pilgrims & Culture Seekers
Grand Hotel,Nuwara Eliya,High,Historical,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,High,No,Yes,Medium,Avoid Peak Holidays,Sunny,Moderate,History & Heritage Enthusiasts
Pusulpitiya Raja Maha Vihara,Nuwara Eliya,High,Religious,Well-maintained,Esala,Not Specified,Not Specified,No,Nuwara Eliya,High,No,Yes,High,"Jan–Mar, 6–8 AM",Light Rain,Moderate,Pilgrims & Culture Seekers
Pothgul Maliga Vihara,Nuwara Eliya,Medium,Religious,At-risk,Esala,Not Specified,Not Specified,No,Nuwara Eliya,Low,Yes,Yes,Low,Weekdays only,Sunny,Moderate,Pilgrims & Culture Seekers
Pothgul Palace,Nuwara Eliya,High,Historical,At-risk,None,Not Specified,Not Specified,No,Nuwara Eliya,High,No,Yes,High,Anytime,Sunny,Poor,History & Heritage Enthusiasts
Rikillagaskada Ambalama,Nuwara Eliya,Medium,Historical,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,High,No,Yes,High,Weekdays only,Sunny,Poor,History & Heritage Enthusiasts
Ranamune Pihilla,Nuwara Eliya,Medium,Historical,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,Low,Yes,Yes,Medium,"Jan–Mar, 6–8 AM",Sunny,Good,History & Heritage Enthusiasts
Seetha Amman Temple,Nuwara Eliya,High,Religious,Well-maintained,Rama Navami,Not Specified,Not Specified,No,Nuwara Eliya,High,Yes,Yes,High,"May–July, Weekdays",Clear,Poor,Pilgrims & Culture Seekers
Shri Bhakta Hanuman Temple,Nuwara Eliya,High,Religious,Well-maintained,Hanuman Jayanti,Not Specified,Not Specified,No,Nuwara Eliya,Moderate,No,No,Medium,Weekdays only,Clear,Good,Pilgrims & Culture Seekers
Sita Temple,Nuwara Eliya,High,Religious,Well-maintained,Rama Navami,Not Specified,Not Specified,No,Nuwara Eliya,Moderate,Yes,Yes,Low,"Jan–Mar, 6–8 AM",Light Rain,Good,Pilgrims & Culture Seekers
Victoria Park,Nuwara Eliya,Medium,Historical,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,Moderate,No,No,Medium,"May–July, Weekdays",Light Rain,Good,History & Heritage Enthusiasts
Lake Gregory,Nuwara Eliya,High,Historical,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,High,No,Yes,Medium,Avoid Peak Holidays,Light Rain,Moderate,History & Heritage Enthusiasts
Nuwara Eliya Golf Club,Nuwara Eliya,High,Historical,Well-maintained,None,Not Specified,Not Specified,No,Nuwara Eliya,Moderate,No,Yes,High,"Jan–Mar, 6–8 AM",Clear,Moderate,History & Heritage Enthusiasts
Maha Saman Devalaya,Ratnapura,High,Religious,Well-maintained,"Esala, Annual Perahera",Not Specified,No,"Devalaya, Ritual",Ratnapura,Moderate,Yes,Yes,High,Avoid Peak Holidays,Light Rain,Poor,Pilgrims & Culture Seekers
Abhayathilakarathnaramaya (Kuruwita Purana Vihara),"Kuruwita, Ratnapura",Medium,Religious,Well-maintained,None,Not Specified,No,Temple,Ratnapura,High,No,Yes,High,"May–July, Weekdays",Sunny,Moderate,Pilgrims & Culture Seekers
Aramanapola Raja Maha Vihara,"Ganegama, Ratnapura",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Ruins",Ratnapura,High,Yes,Yes,High,"May–July, Weekdays",Clear,Poor,Pilgrims & Culture Seekers
Delgamuwa Raja Maha Vihara,Ratnapura,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Relic",Ratnapura,High,Yes,Yes,High,Anytime,Light Rain,Poor,Pilgrims & Culture Seekers
Batatotalena Cave,"Kuruwita, Ratnapura",Medium,Historical,At-risk,None,Not Specified,No,"Cave, Archaeology",Ratnapura,Low,Yes,Yes,Medium,"May–July, Weekdays",Sunny,Good,History & Heritage Enthusiasts
Beligallena Cave,Ratnapura,Medium,Historical,At-risk,None,Not Specified,No,"Cave, Prehistoric",Ratnapura,Moderate,No,No,Medium,Weekdays only,Light Rain,Good,History & Heritage Enthusiasts
"Bisokotuwa lake, Galpaya",Ratnapura,Medium,Historical,Under renovation,None,Not Specified,No,"Irrigation, Ruins",Ratnapura,Low,No,No,Medium,Weekdays only,Cloudy,Good,History & Heritage Enthusiasts
Ratnapura Dutch Fort,Ratnapura,High,Historical,At-risk,None,Not Specified,No,"Fort, Colonial",Ratnapura,Low,No,No,Low,Avoid Peak Holidays,Light Rain,Good,History & Heritage Enthusiasts
Site of Ratnapura Portuguese Fort,Ratnapura,Medium,Historical,Ruins,None,Not Specified,No,"Fort, Colonial",Ratnapura,High,No,Yes,High,Avoid Peak Holidays,Cloudy,Poor,History & Heritage Enthusiasts
Sri Sankapala Raja Maha Viharaya,Ratnapura,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Rock",Ratnapura,Moderate,Yes,Yes,Low,Avoid Peak Holidays,Light Rain,Moderate,Pilgrims & Culture Seekers
National Museum Ratnapura,Ratnapura,High,Historical,Well-maintained,None,Not Specified,No,Museum,Ratnapura,High,No,Yes,Low,Weekdays only,Light Rain,Good,History & Heritage Enthusiasts
Karandulen Vihara,"Nilmalgoda, Kegalle",Medium,Religious,Well-maintained,Esala,Not Specified,No,Temple,Kegalle,High,Yes,Yes,Medium,Weekdays only,Clear,Good,Pilgrims & Culture Seekers
Kariyagama Raja Maha Vihara,"Aranayaka, Kegalle",Medium,Religious,Well-maintained,Esala,Not Specified,No,Temple,Kegalle,Low,Yes,Yes,Medium,Avoid Peak Holidays,Clear,Good,Pilgrims & Culture Seekers
Kawudugama Vihara,Kegalle,Medium,Religious,At-risk,None,Not Specified,No,Temple,Kegalle,Moderate,Yes,Yes,High,"Jan–Mar, 6–8 AM",Cloudy,Moderate,Pilgrims & Culture Seekers
Keerahena Gallen Vihara,"Deraniyagala, Kegalle",Medium,Religious,Under renovation,None,Not Specified,No,"Cave, Temple",Kegalle,Low,No,Yes,Medium,"Jan–Mar, 6–8 AM",Clear,Good,Pilgrims & Culture Seekers
Keerahena Purana Vihara,"Warakapola, Kegalle",Medium,Religious,At-risk,None,Not Specified,No,"Cave, Temple",Kegalle,Moderate,No,Yes,Medium,Weekdays only,Sunny,Moderate,Pilgrims & Culture Seekers
Keerthi Sri Rajasingha Raja Maha Vihara,"Rambukkana & Galigamuwa, Kegalle",High,Religious,Well-maintained,Esala,Not Specified,No,Temple,Kegalle,Low,No,No,Low,Weekdays only,Sunny,Moderate,Pilgrims & Culture Seekers
Kehelwathugoda Galliyadda ruins,Kegalle,Low,Historical,At-risk,None,Not Specified,No,Ruins,Kegalle,Low,No,Yes,High,"May–July, Weekdays",Cloudy,Moderate,History & Heritage Enthusiasts
Keraminiya Raja Maha Vihara,"Mawanella, Kegalle",Medium,Religious,Well-maintained,None,Not Specified,No,Temple,Kegalle,Low,No,No,Low,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Kondagale Vihara,Kegalle,Medium,Religious,At-risk,None,Not Specified,No,Temple,Kegalle,Low,Yes,Yes,Medium,Anytime,Sunny,Moderate,Pilgrims & Culture Seekers
Kuragala Gallen Raja Maha Vihara,"Aranayaka, Kegalle",High,Religious,Well-maintained,None,Not Specified,No,"Cave, Temple",Kegalle,Low,No,No,Medium,"May–July, Weekdays",Light Rain,Good,Pilgrims & Culture Seekers
Legam Kotasa ruins,Kegalle,Low,Historical,At-risk,None,Not Specified,No,"Cave, Ruins",Kegalle,Moderate,Yes,Yes,Low,Avoid Peak Holidays,Clear,Good,History & Heritage Enthusiasts
Ruwanwella Fort,"Ruwanwella, Kegalle",High,Historical,Well-maintained,None,Not Specified,No,Fortress,Kegalle,Low,Yes,Yes,Low,Avoid Peak Holidays,Sunny,Good,History & Heritage Enthusiasts
Dorawaka Rock Caves & Uragala Caves,"Warakapola, Kegalle",High,Natural,At-risk,None,Not Specified,No,Cave,Kegalle,Moderate,Yes,Yes,Medium,"Jan–Mar, 6–8 AM",Sunny,Good,History & Heritage Enthusiasts
Alu Lena Caves,"Attanagoda, Kegalle",High,Natural,Under renovation,None,Not Specified,No,Cave,Kegalle,Low,No,No,Low,"Jan–Mar, 6–8 AM",Clear,Good,History & Heritage Enthusiasts
Ambulugala Sri Danthapaya Rajamaha Viharaya,Kegalle,Medium,Religious,Well-maintained,None,Not Specified,No,Temple,Kegalle,High,Yes,Yes,Medium,"Jan–Mar, 6–8 AM",Sunny,Good,Pilgrims & Culture Seekers
Muthiyangana Raja Maha Vihara,Badulla,High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Image House",Badulla,High,No,Yes,High,"Jan–Mar, 6–8 AM",Sunny,Poor,Pilgrims & Culture Seekers
Mahiyangana Raja Maha Vihara,Badulla,High,Religious,Well-maintained,Esala,Not Specified,No,"Solosmasthana, Temple",Badulla,High,Yes,Yes,Low,Weekdays only,Clear,Good,Pilgrims & Culture Seekers
Dhowa Rock Temple (Kumbatissa Ariyagala Vehera),"Bandarawela, Badulla",High,Religious,At-risk,None,Not Specified,No,"Cave Temple, Buddha Statue",Badulla,High,No,Yes,Low,Avoid Peak Holidays,Light Rain,Good,Pilgrims & Culture Seekers
Bogoda Wooden Bridge & Bogoda Raja Maha Vihara,Badulla,High,Historical,Well-maintained,None,Not Specified,No,"Wooden Bridge, Temple, Murals",Badulla,High,No,Yes,Medium,Avoid Peak Holidays,Sunny,Good,Pilgrims & Culture Seekers
"St. Mark’s Church, Badulla",Badulla,Medium,Religious,Well-maintained,None,Not Specified,No,"Church, Colonial",Badulla,Low,Yes,Yes,Low,Weekdays only,Clear,Good,Pilgrims & Culture Seekers
Dematamal Viharaya,"Okkampitiya, Monaragala",High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Ruins, Ritual",Badulla,High,No,Yes,Low,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Buddama Raja Maha Vihara,"Buddama, Monaragala",High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Cave, Murals",Badulla,High,Yes,Yes,Low,Avoid Peak Holidays,Sunny,Good,Pilgrims & Culture Seekers
Kanabiso Pokuna Raja Maha Vihara,"Handapanagala, Monaragala",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Ruins",Badulla,High,No,Yes,High,Weekdays only,Light Rain,Poor,Pilgrims & Culture Seekers
Keheliya Raja Maha Vihara,"Handapanagala, Monaragala",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Archaeological Site",Badulla,Low,Yes,Yes,Medium,"May–July, Weekdays",Cloudy,Good,Pilgrims & Culture Seekers
Maligawila,Monaragala,High,Religious,Well-maintained,None,Not Specified,No,"Ruins, Image House",Monaragala,Low,Yes,Yes,High,Weekdays only,Cloudy,Poor,Pilgrims & Culture Seekers
Buduruwagala,Monaragala,High,Religious,Well-maintained,None,Not Specified,No,"Rock Carvings, Temple",Monaragala,High,No,Yes,High,Avoid Peak Holidays,Clear,Moderate,Pilgrims & Culture Seekers
Yudaganawa Vihara,Monaragala,High,Religious,Well-maintained,Esala,Not Specified,No,"Stupa, Ritual",Monaragala,High,No,Yes,Medium,Weekdays only,Cloudy,Good,Pilgrims & Culture Seekers
